latitude,longitude,frp,confidence,industry_distance_km,forest_distance_km,persistence_days,night_flag,industrial_risk_label
20.02025,78.34142,35.4,58.3,13.3,8.82,1,0,0
20.64323,79.47309,58.1,73.0,2.42,37.33,2,0,0
22.19494,76.82336,114.8,63.1,3.38,7.6,1,1,0
22.76758,76.44768,18.9,72.8,11.33,23.57,1,1,0
22.60785,77.079,7.9,92.6,8.22,0.87,1,1,0
20.89708,76.22835,63.4,79.1,0.05,2.12,1,0,0
22.84872,78.12468,64.7,77.6,1.93,5.81,1,0,0
20.949,79.74642,33.4,63.5,2.74,8.79,0,0,0
21.3016,76.15737,28.1,47.7,1.3,16.94,1,0,0
22.98597,76.48844,51.3,66.9,1.11,44.45,1,1,0
22.59853,77.8088,18.6,88.1,0.19,4.92,2,0,1
23.39689,79.7355,18.6,47.1,5.16,0.49,0,0,0
22.63045,77.26462,81.2,54.2,1.52,16.15,2,0,0
22.27323,78.02894,17.4,71.9,0.27,9.27,2,0,1
20.3747,76.16629,8.5,55.2,1.31,2.21,1,0,0
21.47086,76.59337,28.1,58.1,8.1,6.83,1,0,0
21.06081,79.94652,34.1,63.6,9.54,13.56,3,1,0
20.97596,79.86047,70.1,49.5,3.3,14.71,3,0,0
23.89204,76.01976,30.2,55.4,2.69,6.92,1,1,0
21.57239,79.80725,127.8,80.6,19.05,3.64,2,0,0
23.56819,78.55648,53.4,50.4,1.12,36.4,0,0,0
22.52455,79.47167,24.8,46.0,1.21,10.89,3,0,0
23.17925,77.81896,68.0,60.5,1.73,5.25,1,1,0
22.01055,78.06238,126.3,81.0,0.95,3.29,2,0,1
22.30762,77.95539,79.7,67.0,2.39,13.13,0,0,1
21.97007,78.66746,11.5,63.0,12.09,2.77,1,0,0
20.78097,76.55861,36.6,70.7,4.78,1.88,1,0,0
22.88981,76.11989,60.3,43.8,2.65,7.55,2,1,1
21.12309,77.23172,77.4,77.4,13.62,3.42,1,1,0
20.09726,78.81872,43.2,75.8,0.25,9.91,1,0,0
22.58189,76.80741,38.6,63.9,1.18,1.25,3,0,0
20.70844,78.69373,156.7,85.1,4.17,10.64,2,1,1
23.76183,79.87965,80.5,53.1,4.78,3.33,1,0,0
23.81571,76.3756,68.2,86.9,0.2,0.1,3,0,0
23.65946,78.69041,31.3,72.3,2.58,1.36,2,0,0
21.48063,77.775,18.3,65.0,5.24,27.12,0,0,0
20.06183,79.47257,69.0,69.7,5.99,20.2,0,0,0
23.71327,76.7086,86.6,68.4,5.08,2.66,1,1,0
21.71274,78.7705,49.8,88.3,1.93,15.07,1,0,0
23.86662,79.35246,80.6,53.8,0.49,9.38,1,0,1
23.85448,79.77846,82.1,58.6,2.79,35.37,1,1,1
23.41204,78.73299,90.6,85.5,0.69,4.68,1,0,0
21.1778,77.9887,11.2,61.1,14.75,11.44,1,0,0
21.54039,78.47139,37.4,83.5,3.22,0.66,3,0,0
23.40455,79.47562,72.0,95.5,1.91,5.05,1,0,1
21.26769,78.28244,52.0,64.0,7.27,33.19,2,1,0
20.67797,76.12155,82.2,80.2,3.45,7.74,0,1,1
22.22721,79.72379,68.1,52.7,1.86,3.4,0,0,0
23.74462,78.75811,4.4,81.3,8.36,1.28,0,1,0
22.78412,78.70605,105.7,73.0,10.09,12.16,3,0,1
22.28024,76.8627,33.7,77.1,5.59,10.35,2,1,1
20.38871,78.63554,23.5,60.3,0.24,4.68,1,0,0
22.46003,77.57546,103.3,45.1,4.18,30.15,0,0,1
23.96022,78.60493,77.9,77.5,7.2,0.22,0,0,0
20.56034,76.42637,113.2,39.0,0.73,3.62,2,0,1
22.07332,78.63138,60.8,65.2,1.3,25.39,2,0,1
23.50949,79.99765,37.0,84.1,10.71,3.87,0,0,0
22.96307,76.19285,55.8,72.9,0.1,2.91,2,1,1
22.78806,79.9087,19.8,99.2,6.99,7.64,2,0,0
22.80994,77.62763,13.8,85.4,3.21,17.36,1,1,1
21.43796,79.48301,29.4,60.2,2.96,1.09,1,0,0
21.17437,79.12954,136.0,70.4,0.05,28.65,2,0,1
23.23744,78.26807,32.0,69.3,8.56,15.85,3,1,0
23.24045,78.9538,8.7,46.3,2.23,2.0,3,0,0
23.46829,79.51406,44.2,55.9,3.89,12.45,2,1,0
23.65296,77.61656,31.6,61.6,5.66,4.86,2,1,0
22.04537,77.30813,107.0,39.5,6.06,5.15,2,0,0
22.00607,78.67037,129.7,70.7,15.62,15.29,2,0,0
23.19318,79.23138,35.6,66.3,3.79,32.91,4,0,0
22.59986,79.04914,60.8,44.9,2.55,1.35,0,0,0
22.80787,79.19125,64.5,76.1,15.36,5.46,1,0,0
23.18317,77.74233,48.1,80.7,5.14,6.56,1,1,1
23.56002,79.27134,41.6,73.4,1.77,4.72,0,0,0
21.35198,76.48084,22.1,65.1,0.68,4.51,1,0,0
21.50233,78.17796,7.2,78.9,9.24,0.54,3,0,0
20.37593,76.02303,21.9,80.2,2.25,11.57,2,1,1
22.31312,77.29834,46.8,74.6,5.4,5.73,0,0,0
20.14377,77.46585,12.2,57.6,3.18,2.17,3,0,0
21.86239,77.58469,58.5,74.1,1.11,16.93,3,0,1
22.17058,78.78187,52.7,87.9,4.6,16.22,1,1,1
21.14617,77.55423,31.7,61.1,0.31,6.66,4,1,1
22.36333,77.79477,40.2,100.0,2.67,3.54,1,0,0
20.122,76.95018,14.7,62.1,3.96,10.16,3,1,0
20.14939,77.49301,89.5,70.5,2.86,3.4,2,0,0
23.2904,76.90908,88.5,59.9,6.9,2.69,3,1,1
21.44076,76.29278,17.4,73.3,8.8,13.11,1,0,0
20.50824,78.41379,17.9,43.9,7.38,0.41,1,0,0
22.08897,78.67285,22.2,61.8,0.2,1.0,0,0,0
23.07997,78.47796,74.5,53.6,1.08,0.1,1,0,0
20.86328,77.85398,64.4,72.0,3.85,1.66,4,1,1
22.49156,77.51914,102.5,84.9,13.65,0.71,1,0,0
20.34139,79.45333,110.4,79.7,9.01,50.0,2,1,0
20.20673,78.07633,11.1,34.4,9.24,3.41,2,0,0
22.12542,77.91673,72.7,100.0,1.81,1.62,1,0,0
22.16254,76.10257,107.4,74.4,2.81,2.76,3,0,1
22.54972,77.36499,38.1,58.4,3.18,27.51,1,0,0
22.90437,77.52078,49.1,72.4,0.86,7.34,0,1,0
23.90341,77.59529,43.5,72.6,0.16,4.54,5,0,1
22.0652,78.32069,45.1,60.0,14.68,20.67,1,0,0
21.29183,78.13441,89.3,73.0,1.38,5.03,1,0,0
23.18074,78.43162,153.0,60.9,1.37,4.08,1,0,0
21.08333,79.05953,124.9,63.9,0.44,2.32,1,1,1
21.75589,79.25194,32.9,59.7,13.19,4.74,1,0,0
20.31383,78.87249,60.9,48.5,4.33,3.81,0,1,0
20.1014,79.82209,25.4,72.2,5.5,11.31,2,0,0
23.85059,76.07293,27.7,78.8,12.13,3.42,2,0,0
23.34392,76.78311,47.4,77.7,2.12,8.61,1,1,1
22.7839,76.03025,27.1,82.3,4.86,0.68,3,0,0
21.63581,78.5899,30.7,74.9,0.2,2.12,1,0,0
20.69318,79.59212,59.9,62.0,1.03,5.23,0,0,1
20.62575,76.97393,72.0,82.6,8.9,27.64,3,0,0
21.00097,79.70814,70.6,49.6,7.28,4.74,3,1,0
22.19691,76.24107,71.1,56.5,2.16,10.91,0,0,0
22.85838,79.73774,15.8,55.5,2.36,2.94,1,1,0
22.64079,77.40649,25.9,86.2,3.81,1.36,2,0,0
21.11974,76.40568,51.5,84.1,0.05,0.6,1,0,0
23.81946,77.94349,104.1,77.3,1.38,3.64,0,0,0
22.95159,77.02711,208.8,86.1,1.17,1.72,0,0,0
22.21742,77.13949,62.7,56.8,1.44,1.91,2,1,0
22.44688,77.22916,83.5,75.2,8.2,14.3,3,0,0
21.6784,79.2121,14.0,68.1,1.64,0.16,0,0,0
20.99092,78.15665,81.9,82.7,1.06,8.16,0,1,1
21.42389,77.24523,173.7,68.3,3.51,4.77,1,1,0
23.03138,78.44134,25.8,64.2,10.04,7.06,3,0,0
20.05757,78.8646,31.6,78.1,1.38,8.27,0,1,1
20.46429,77.0905,91.2,83.1,0.41,3.76,5,0,1
20.18401,77.6542,51.0,60.0,2.2,3.5,1,0,0
20.16292,76.48754,6.4,69.1,6.88,13.22,1,0,0
23.42184,76.7246,33.2,54.1,4.0,20.5,3,0,0
22.81463,78.72447,129.3,32.5,8.49,2.14,1,0,0
21.8967,76.72575,40.0,73.0,16.04,1.03,0,0,0
20.39134,78.10065,39.9,79.1,7.87,22.81,1,0,0
21.96646,78.83619,87.3,73.9,4.63,4.31,1,1,0
21.89389,76.42751,64.4,40.8,3.4,8.01,1,1,0
20.69281,78.26925,38.2,64.7,0.2,4.46,2,1,1
21.73541,77.02625,29.8,36.7,20.78,1.34,1,0,0
21.59402,79.85171,273.3,90.5,2.42,8.9,0,0,0
22.4634,77.93418,115.4,53.7,0.83,7.45,2,0,1
22.54037,79.22397,71.1,88.8,5.49,2.27,1,0,0
20.18122,78.20091,74.3,84.2,1.67,6.01,2,0,1
21.49845,76.17365,45.3,56.5,4.41,15.94,2,0,0
22.50344,78.53261,63.8,53.0,4.42,8.93,1,1,0
22.01255,79.80561,41.6,75.3,2.95,1.02,1,0,0
23.42596,78.40645,23.7,57.3,9.04,7.94,0,0,0
22.63477,79.27676,65.6,71.5,1.54,12.13,2,0,0
20.65174,79.53683,38.8,62.8,2.98,15.74,1,0,0
20.28227,76.91232,68.1,43.3,3.86,9.92,4,0,1
22.56968,76.84818,77.4,36.5,5.45,1.66,1,0,0
20.10605,78.44392,70.7,73.4,7.66,12.38,3,0,0
22.3431,77.64411,22.0,61.6,2.51,11.31,1,0,0
23.76092,79.35945,35.5,61.7,5.19,0.25,2,0,0
22.3019,79.60009,39.4,80.4,0.82,5.31,2,1,1
21.55268,77.41369,98.1,87.6,13.49,4.05,4,1,0
22.57315,76.94748,94.7,65.9,2.41,11.07,1,0,0
21.83301,79.1221,27.2,64.9,6.54,2.44,0,0,0
22.18247,77.09922,15.4,77.5,0.1,8.94,3,1,1
23.76586,79.29046,215.2,49.6,1.15,24.44,6,0,1
21.54441,77.69495,68.7,73.3,3.34,15.99,1,0,0
23.84476,78.6702,13.4,78.3,10.53,25.44,0,0,0
23.6214,76.38214,31.2,80.2,3.75,38.4,1,0,0
20.78316,78.49544,100.9,40.9,13.29,0.11,1,1,0
20.27745,77.80707,182.3,58.6,3.31,9.75,0,1,0
20.40311,78.34643,163.1,56.8,3.37,5.32,1,0,0
20.07289,76.67206,66.7,71.5,0.64,19.65,1,0,0
20.37777,78.94749,50.1,77.2,8.11,2.9,4,0,0
22.73203,79.45119,20.1,92.5,1.42,39.65,4,0,1
20.28475,76.86696,53.4,62.6,11.49,9.51,2,1,0
21.2759,76.38286,22.7,62.5,12.09,15.78,0,0,0
23.3795,76.09455,35.8,87.2,14.35,0.89,1,0,0
20.09309,78.56789,91.2,74.4,3.67,2.03,1,1,0
23.25787,78.42838,41.5,89.0,5.65,14.2,2,1,1
21.12742,78.18679,39.3,74.3,7.54,0.22,0,1,0
20.47266,76.92779,48.1,52.6,0.7,16.98,5,0,1
22.78695,77.56362,235.7,50.0,4.59,0.14,2,0,0
22.51577,78.37791,18.1,46.7,0.17,10.7,2,0,0
23.50989,77.98707,61.7,79.9,3.44,4.54,1,0,0
22.94028,79.95114,153.7,87.8,0.84,9.45,1,1,1
23.21392,76.54576,48.0,97.7,1.01,11.91,0,0,0
21.12814,78.78058,113.9,82.6,2.27,4.19,3,1,1
20.70976,77.61728,14.3,87.4,2.83,1.14,4,0,0
23.00246,77.7128,42.5,61.3,4.88,0.72,2,1,0
23.22734,78.87039,25.0,52.7,0.39,8.89,1,0,0
23.96202,78.76974,47.6,82.8,3.5,7.35,3,1,0
21.65047,79.96502,48.4,76.3,1.01,13.56,1,0,0
21.48807,76.51358,52.3,71.6,4.27,7.13,2,0,1
23.10565,76.41644,90.6,75.8,5.07,5.49,1,1,0
21.36321,78.89736,3.7,74.8,4.07,5.08,0,0,0
23.72303,78.31355,30.0,89.3,6.7,0.27,0,0,0
23.43365,77.09664,58.6,89.4,2.04,4.09,3,1,1
21.71598,76.31768,6.8,78.2,7.24,37.31,2,0,0
23.00348,76.34263,78.0,82.7,2.83,20.68,0,0,0
23.01817,79.57676,29.5,77.7,3.31,4.0,3,0,0
20.4125,76.76747,43.2,63.1,5.22,8.86,1,1,0
23.61021,77.29349,93.4,81.3,0.09,18.79,1,0,1
22.02101,76.90663,117.4,49.1,5.31,5.82,1,0,0
23.30583,77.41999,79.7,85.8,4.82,0.18,1,0,0
21.2802,76.2777,17.6,52.1,1.85,0.77,2,0,0
23.58209,78.07624,77.0,74.3,0.45,7.14,0,0,1
21.55681,76.27045,80.6,57.3,0.48,34.88,0,0,0
20.04335,79.20143,69.9,78.3,12.83,11.82,1,0,0
23.62153,76.93485,130.2,69.5,5.84,0.74,1,0,0
20.36515,78.16005,53.3,46.1,0.68,2.1,1,0,0
21.27725,79.52032,126.9,76.3,2.21,14.75,1,0,0
23.80025,78.60351,126.4,61.3,4.49,18.42,3,0,0
23.80243,78.13183,82.2,83.2,9.03,9.62,2,0,0
22.29375,77.29734,62.4,70.0,0.22,10.34,2,0,0
22.52735,77.33201,70.2,75.9,1.35,0.29,0,0,0
21.79378,78.67795,149.0,55.6,11.02,17.63,0,0,0
21.17284,79.97656,104.0,61.2,0.05,15.52,2,1,1
21.31466,78.64736,19.7,63.1,1.12,3.0,0,0,0
22.69007,78.23113,67.0,82.9,15.97,12.33,2,0,0
23.0095,78.9226,23.8,95.2,4.75,2.42,3,0,0
23.16632,77.86082,28.8,57.9,1.52,0.41,3,0,0
23.15847,76.24057,37.0,86.2,0.35,2.25,1,1,0
20.36482,78.24919,12.9,37.5,0.14,1.97,2,0,0
21.97768,79.8305,22.4,52.1,1.4,4.12,1,0,0
20.23024,76.70121,134.9,55.6,10.66,5.42,3,0,0
22.19812,78.76002,28.6,49.7,2.69,7.1,2,0,0
21.76612,76.80373,90.9,46.2,6.37,6.48,1,0,0
23.55082,78.14331,57.0,76.2,12.52,3.16,2,0,0
21.40366,76.38671,74.6,66.8,2.62,0.3,0,1,0
20.46827,77.80148,76.9,75.7,1.06,9.29,1,0,1
20.57197,79.02465,21.5,80.4,3.64,5.04,0,0,0
23.04604,77.39029,90.6,74.0,11.93,3.55,0,0,0
22.47287,78.65965,15.8,79.9,8.16,20.17,2,0,0
20.40449,79.1818,27.6,69.0,0.34,13.73,3,0,0
